site;year;adult;young;cox;coy;ele;len;pre;pro;wid;cor;spm;spr;bm;bv
bz9;2011;NA;NA;;;;;;;;;;;;
bz10;2011;NA;NA;;;;;;;;;;;;
bz11;2011;NA;NA;;;;;;;;;;;;
bz12;2011;NA;NA;;;;;;;;;;;;
bz13;2011;NA;NA;;;;;;;;;;;;
bz14;2011;NA;NA;;;;;;;;;;;;
bz15;2011;NA;NA;;;;;;;;;;;;
bz16;2011;NA;NA;;;;;;;;;;;;
bz17;2011;NA;NA;;;;;;;;;;;;
bz18;2011;NA;NA;;;;;;;;;;;;
bz19;2011;NA;NA;;;;;;;;;;;;
bz20;2011;NA;NA;;;;;;;;;;;;
bz21;2011;NA;NA;;;;;;;;;;;;
bz22;2011;NA;NA;;;;;;;;;;;;
bz23;2011;NA;NA;;;;;;;;;;;;
bz24;2011;NA;NA;;;;;;;;;;;;
bz25;2011;NA;NA;;;;;;;;;;;;
bz26;2011;NA;NA;;;;;;;;;;;;
bz27;2011;NA;NA;;;;;;;;;;;;
bz28;2011;NA;NA;;;;;;;;;;;;
bz29;2011;NA;NA;;;;;;;;;;;;
bz30;2011;NA;NA;;;;;;;;;;;;
bz31;2011;NA;NA;;;;;;;;;;;;
bz32;2011;NA;NA;;;;;;;;;;;;
bz33;2011;NA;NA;;;;;;;;;;;;
bz34;2011;NA;NA;;;;;;;;;;;;
bz35;2011;NA;NA;;;;;;;;;;;;
bz36;2011;NA;NA;;;;;;;;;;;;
bz37;2011;NA;NA;;;;;;;;;;;;
bz38;2011;NA;NA;;;;;;;;;;;;
bz39;2011;NA;NA;;;;;;;;;;;;
bz40;2011;NA;NA;;;;;;;;;;;;
bz41;2011;NA;NA;;;;;;;;;;;;
bz42;2011;NA;NA;;;;;;;;;;;;
bz43;2011;NA;NA;;;;;;;;;;;;
bz44;2011;NA;NA;;;;;;;;;;;;
bz45;2011;NA;NA;;;;;;;;;;;;
bz46;2011;NA;NA;;;;;;;;;;;;
bz47;2011;NA;NA;;;;;;;;;;;;
bz48;2011;NA;NA;;;;;;;;;;;;
bz49;2011;NA;NA;;;;;;;;;;;;
bz50;2011;NA;NA;;;;;;;;;;;;
bz51;2011;NA;NA;;;;;;;;;;;;
bz52;2011;NA;NA;;;;;;;;;;;;
bz53;2011;NA;NA;;;;;;;;;;;;
bz54;2011;NA;NA;;;;;;;;;;;;
bz55;2011;NA;NA;;;;;;;;;;;;
bz56;2011;NA;NA;;;;;;;;;;;;
bz57;2011;NA;NA;;;;;;;;;;;;
bz58;2011;NA;NA;;;;;;;;;;;;
bz59;2011;NA;NA;;;;;;;;;;;;
tn1;2011;8;2;;;;;;;;;;;;
tn2;2011;0;4;;;;;;;;;;;;
tn3;2011;0;10;;;;;;;;;;;;
tn4;2011;3;1;;;;;;;;;;;;
tn5;2011;0;0;;;;;;;;;;;;
tn6;2011;16;7;;;;;;;;;;;;
tn7;2011;2;1;;;;;;;;;;;;
tn8;2011;175;240;;;;;;;;;;;;
tn9;2011;75;10;;;;;;;;;;;;
tn10;2011;3;0;;;;;;;;;;;;
tn11;2011;0;0;;;;;;;;;;;;
tn12;2011;0;0;;;;;;;;;;;;
tn13;2011;65;1;;;;;;;;;;;;
tn14;2011;5;16;;;;;;;;;;;;
tn15;2011;0;0;;;;;;;;;;;;
tn16;2011;10;0;;;;;;;;;;;;
tn17;2011;0;0;;;;;;;;;;;;
tn18;2011;0;0;;;;;;;;;;;;
tn19;2011;21;0;;;;;;;;;;;;
tn20;2011;0;0;;;;;;;;;;;;
tn21;2011;0;1;;;;;;;;;;;;
bl1;2011;NA;NA;;;;;;;;;;;;
bl2;2011;NA;NA;;;;;;;;;;;;
bl3;2011;NA;NA;;;;;;;;;;;;
bl4;2011;NA;NA;;;;;;;;;;;;
bl5;2011;NA;NA;;;;;;;;;;;;
bl6;2011;NA;NA;;;;;;;;;;;;
bl7;2011;NA;NA;;;;;;;;;;;;
bl8;2011;NA;NA;;;;;;;;;;;;
bl9;2011;NA;NA;;;;;;;;;;;;
bl10;2011;NA;NA;;;;;;;;;;;;
bl11;2011;NA;NA;;;;;;;;;;;;
bl12;2011;NA;NA;;;;;;;;;;;;
bl13;2011;NA;NA;;;;;;;;;;;;
bl14;2011;NA;NA;;;;;;;;;;;;
bl15;2011;NA;NA;;;;;;;;;;;;
bl16;2011;NA;NA;;;;;;;;;;;;
bl17;2011;NA;NA;;;;;;;;;;;;
vi1;2011;NA;NA;;;;;;;;;;;;
vi2;2011;NA;NA;;;;;;;;;;;;
pd1;2011;NA;NA;;;;;;;;;;;;
bz1;2012;0;0;;;;;;;;;;;;
bz2;2012;0;0;;;;;;;;;;;;
bz3;2012;0;0;;;;;;;;;;;;
bz4;2012;9;23;;;;;;;;;;;;
bz5;2012;150;10;;;;;;;;;;;;
bz6;2012;1;0;;;;;;;;;;;;
bz7;2012;10;0;;;;;;;;;;;;
bz8;2012;7;0;;;;;;;;;;;;
bz9;2012;0;0;;;;;;;;;;;;
bz10;2012;0;0;;;;;;;;;;;;
bz11;2012;0;0;;;;;;;;;;;;
bz12;2012;NA;NA;;;;;;;;;;;;
bz13;2012;270;400;;;;;;;;;;;;
bz14;2012;300;10;;;;;;;;;;;;
bz15;2012;300;10;;;;;;;;;;;;
